songTitle,artistName,releaseYear,popularity
(Fly Me To The Moon) In Other Words,"[Anita O'Day, 'The Three Sounds']",1962,29
(For You) I'd Chase a Rainbow,['kalapana'],1978,25
(For You) I'd Chase a Rainbow - Remastered,['kalapana'],1975,23
(Forever) Live And Die,['Orchestral Manoeuvres In The Dark'],1986,47
(Fuck A) Silver Lining,['Panic! At The Disco'],2018,63
(Fuck The) U.S.A.,['The Exploited'],2004,44
(Get A) Grip (On Yourself) - 1996 Remaster,['The Stranglers'],1977,42
(Get Your Kicks On) Route 66,"['The Andrews Sisters', 'Bing Crosby', 'Vic Schoen & His Orchestra']",1996,35
(Getting Some) Fun out of Life,['Madeleine Peyroux'],1996,58
(Ghost) Riders In The Sky,['The Outlaws'],2003,40
"(Ghost) Riders In the Sky - Digitally Remastered, 1996",['The Outlaws'],1980,47
(Girl) I Love You,['The Temprees'],1984,24
(Go To Sleep) My Sleepy Head,['Nat King Cole Trio'],1948,5
(God Must Have Spent) A Little More Time On You,['*NSYNC'],1997,45
(God Must Have Spent) A Little More Time On You - Remix,['*NSYNC'],2005,58
(Good Night) Irene,['Lead Belly'],1943,1
(Good Night) Irene (Take 1),['Lead Belly'],1943,22
(Gotta Get A) Meal Ticket,['Elton John'],1975,33
(Gun Fever) Blam Blam Fever,['The Valentines'],1966,30
(Happy Birthday) Mr.Twenty-One,['The Orlons'],1962,20
(He's) The Great Imposter,['The Fleetwoods'],1993,37
(Here Comes The) Rain,['The Cult'],1985,31
(Hey Baby) Que Paso,['Texas Tornados'],1990,44
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,['B.J. Thomas'],1975,43
(Holy Matrimony) Letter To The Firm,['Foxy Brown'],1996,42
(How Little It Matters) How Little We Know,['Frank Sinatra'],1963,18
(How Much Is That) Doggie In The Window,['Patti Page'],1960,40
(How Will I Know) I'm Falling in Love Again,['Willie Nelson'],1974,21
(I Believe) There's Nothing Stronger Than Our Love,"['Paul Anka', 'Odia Coates']",1975,30
(I Can't Get No) Satisfaction,['Britney Spears'],2000,45
(I Can't Get No) Satisfaction - (Original Single Mono Version),['The Rolling Stones'],2004,44
(I Can't Get No) Satisfaction - 2008 Remaster,['Otis Redding'],1965,20
(I Can't Get No) Satisfaction - 2009 Remaster,['DEVO'],1978,22
(I Can't Get No) Satisfaction - Live,['The Rolling Stones'],1966,21
"(I Can't Get No) Satisfaction - Live From Madison Square Garden, New York/1969",['The Rolling Stones'],1970,26
"(I Can't Get No) Satisfaction - Live at the Whisky a Go Go, 1968; 2008 Remaster",['Otis Redding'],1965,21
(I Can't Get No) Satisfaction - Live in Europe; 2008 Remaster,['Otis Redding'],1965,18
(I Can't Get No) Satisfaction - Mono,['The Rolling Stones'],1966,44
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],1966,22
(I Can't Get No) Satisfaction - Mono; 2008 Remaster,['Otis Redding'],1965,36
(I Can't Help) Falling In Love With You,['UB40'],1993,68
(I Can't) Forget About You,['R5'],2013,48
(I Don't Care) Only Love Me,['Steve Lawrence'],1961,13
(I Don't Have) Anymore Love Songs,"['Hank Williams, Jr.']",1979,28
(I Don't Know Why) But I Do,['Clarence Frogman Henry'],1994,53
(I Don't Stand) A Ghost Of A Chance,['With Orchestral Accompaniment'],1932,7
(I Don't Stand) a Ghost of a Chance (With You) - Remastered,"['Frank Sinatra', 'Axel Stordahl Orchestra']",1946,20
(I Don't Want To Go To) Chelsea,['Elvis Costello & The Attractions'],1978,43
(I Get So) Sentimental,['Roy Orbison'],1962,20
(I Got A) Stomach Ache,['Junior Wells'],1966,30
(I Got Everything I Need) Almost - Live,"['The Blues Brothers', 'Joe Gastwirt']",1978,32
"(I Got Spurs That) Jingle, Jangle, Jingle",['Kay Kyser & His Orchestra'],1990,51
(I Got That) Boom Boom (feat. Ying Yang Twins),"['Britney Spears', 'Ying Yang Twins']",2003,52
(I Got The) Same Old Blues,['Lynyrd Skynyrd'],1976,35
(I Got) A Hole In My Pocket,['Little Jimmy Dickens'],1949,5
(I Guess There's) No Love,['Mary Wells'],1963,11
(I Hate) Surfin' In H.B.,['D.I.'],1985,24
(I Heard That) Lonesome Whistle - Single Version,['Hank Williams'],1978,23
(I Just) Died In Your Arms,['Cutting Crew'],1986,72
(I Know I Got) Skillz (feat. Def Jef),"[Shaquille O'Neal, 'Def Jef']",1993,34
(I Know) I'm Losing You,['Gladys Knight & The Pips'],1969,29
(I Know) I'm Losing You - Single Version,['Rare Earth'],1970,34
(I Left My Heart) In San Francisco,['Tony Bennett'],1962,61
"(I Left My Heart) In San Francisco (with Ralph Sharon & his Orchestra) - Live at Carnegie Hall, New York, NY - June 1962","['Tony Bennett', 'Ralph Sharon & His Orchestra']",1962,12
(I Live For) Cars and Girls,['The Dictators'],1975,30
(I Love You) For Sentimental Reasons,['Nat King Cole'],1991,55
(I Love You) For Sentimental Reasons - 1998 Digital Remaster,['Dean Martin'],1962,17
(I Married a) Monster from Outer Space,['John Cooper Clarke'],1978,33
(I Never Promised You A) Rose Garden,['Lynn Anderson'],1972,28
(I Used To Want To Be A) Cowboy,['Chris LeDoux'],1982,23
(I Wanna Take) Forever Tonight,['Peter Cetera'],2005,58
(I Was) Born To Cry,['Dion'],1962,20
(I Was) Just Walking out the Door - Live,['Gene Autry'],1947,0
(I Won't) Pay Your Price,['Motörhead'],1979,32
(I Wonder Why?) You're Just in Love,"['Dinah Shore', 'Russell Nype']",1950,3
(I Would Do) Anything For You,['Nat King Cole'],1960,20
(I'd Be) A Legend in My Time,['Roy Orbison'],1961,23
(I'd Choose) You Again,['The Forester Sisters'],1987,32
(I'd Go The) Whole Wide World,['The Monkees'],1987,39
(I'll Be A) Happy Man,"['The Latin Blues Band', 'Luis Aviles']",1968,27
(I'll Be Glad When You're Dead) You Rascal You,['Jack Teagarden And His Orchestra'],1926,7
(I'll Be Glad When You're Dead) You Rascal You - Remastered,"['Louis Prima', 'Keely Smith', 'Sam Butera & The Witnesses']",1956,30
(I'll Build A) Stairway To Paradise,['Georges Guétary'],1951,9
(I'll Give You) Money,['Peter Frampton'],1975,23
(I'll Give You) Money - Live,['Peter Frampton'],1976,31
(I'll Never Be) Maria Magdalena,['Sandra'],1985,46
(I'll Never Be) Maria Magdalena - Single Verison,['Sandra'],1987,61
(I'll Remember) In The Still Of The Night,['The Five Satins'],1987,49
(I'm A) Mean Ole Lion,['Ted Ross'],1978,30
(I'm A) Ramblin' Man,['Waylon Jennings'],1976,30
(I'm A) Road Runner,['Jr. Walker & The All Stars'],1965,47
(I'm A) Road Runner - Bonus Track,['Jerry Garcia'],1974,20
(I'm A) Road Runner - Live,['The Who'],1971,26
(I'm A) Stand by My Woman Man,['Ronnie Milsap'],1976,36
(I'm Afraid) The Masquerade Is Over,['Stevie Wonder'],1962,16
(I'm Always Hearing) Wedding Bells,"['Joe Marine', 'Charlie Naylor']",1955,0
(I'm Always Touched By Your) Presence Dear - Remastered,['Blondie'],1978,32
"(I'm Always Touched By Your) Presence, Dear",['Blondie'],1981,29
(I'm Caught Between) Goodbye And I Love You,['Carpenters'],1975,34
(I'm Gonna Be) 500 Miles,['MxPx'],2009,47
(I'm Gonna) Put It On,['Bob Marley & The Wailers'],1971,21
(I'm Gonna) Run Away,['Joan Jett & The Blackhearts'],1981,32
"(I'm Gonna) Sing, Sing, Sing - Undubbed Version",['Hank Williams'],1956,19
(I'm Just Thinking About) Cooling Out,['Jerry Butler'],1978,22
(I'm Looking For) Cracks in the Pavement - 2010 Remaster,['Duran Duran'],1983,29
(I'm Not Your) Steppin' Stone - 2006 Remaster,['The Monkees'],1967,46
(I'm Your) Hoochie Coochie Man,['Muddy Waters'],1989,45
(I've Been) Searchin' So Long - 2002 Remaster,['Chicago'],1974,40
(I've Been) Searchin' so Long,['Chicago'],1975,32
(I've Got A) Golden Ticket - From Willy Wonka & The Chocolate Factory Soundtrack,"['Jack Albertson', 'Peter Ostrum']",1971,36
(I've Got To) Stop Thinkin' 'Bout That,['James Taylor'],1977,29
(I've Got a Gal in) Kalamazoo,['Glenn Miller'],1939,33
(I've Got) Beginner's Luck,['Ella Fitzgerald'],1959,19
(I've Had) The Time Of My Life - From Dirty Dancing Soundtrack,"['Bill Medley', 'Jennifer Warnes']",1987,65
(I've) Got A Right To Love My Baby,['B.B. King'],1960,11
(If I Could Climb) The Walls of the Bottle,['David Allan Coe'],1974,19
(If I'm Dreaming) Just Let Me Dream,['Brenda Lee'],1960,19
